Preço,Cidade,Bairro,Endereço,Numero,Dorms,Banheiros,Area,Vagas,Titulo
R$ 415.000,Caraguatatuba,Vila Atlantica,Rua dos Goitacazes,N/I,"--
              

                Quarto","--
              

                Banheiro","408
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 408m²"
"R$ 1.500.000
                    



                  Condomínio:
                  
                      R$ 1.170",Caraguatatuba,Martim de Sa,Avenida Doutor Aldino Schiavi,55,"3
              

                Quartos","2
              

                Banheiros","130
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 130m²"
"R$ 900.000
                        
Preço abaixo do mercado",Caraguatatuba,Jardim Casa Branca,Avenida Vítor Meirelles,1080,"4
              

                Quartos","4
              

                Banheiros","265
              

                m²","3
                

                  Vagas","Casa com 4 Quartos à Venda, 265m²"
R$ 551.000,Caraguatatuba,Sumaré,N/I,N/I,"4
              

                Quartos","2
              

                Banheiros","226
              

                m²","2
                

                  Vagas","Casa com 4 Quartos à Venda, 226m²"
R$ 350.000,Caraguatatuba,JARAGUA,N/I,N/I,"--
              

                Quarto","3
              

                Banheiros","400
              

                m²","--
                

                  Vaga","Ponto comercial/Loja/Box    à Venda, 400m²"
R$ 1.500.000,Caraguatatuba,Centro,Rua São Benedito,7568,"--
              

                Quarto","--
              

                Banheiro","248
              

                m²","--
                

                  Vaga","Sala/Conjunto    à Venda, 248m²"
"R$ 219.890
                    



                  Condomínio:
                  
                      R$ 1",Caraguatatuba,Loteamento Altamir Tibirica Pimenta,Rua Francisco Morgado,100,"--
              

                Quarto","--
              

                Banheiro","250
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 250m²"
"R$ 740.000
                    



                  Condomínio:
                  
                      R$ 308",Caraguatatuba,Martim de Sa,Rua Bartolomeu Bueno da Silva,250,"2
              

                Quartos","2
              

                Banheiros","85
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 85m²"
R$ 300.000,Caraguatatuba,Morro Do Algodao,N/I,N/I,"3
              

                Quartos","1
              

                Banheiro","10
              

                m²","1
                

                  Vaga","Casa com 3 Quartos à Venda, 10m²"
"R$ 3.812.000
                    



                  Condomínio:
                  
                      R$ 1.000",Caraguatatuba,Indaiá,Avenida Prefeito Geraldo Nogueira da Silva,500,"4
              

                Quartos","5
              

                Banheiros","316
              

                m²","5
                

                  Vagas","Apartamento com 4 Quartos à Venda, 316m²"
R$ 299.000,Caraguatatuba,Balneario Recanto do Sol,Avenida Domingos Martins Cabrera,N/I,"2
              

                Quartos","1
              

                Banheiro","60
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 60m²"
R$ 1.100.000,Caraguatatuba,Praia Das Palmeiras,N/I,N/I,"7
              

                Quartos","4
              

                Banheiros","320
              

                m²","8
                

                  Vagas","Apartamento com 7 Quartos à Venda, 320m²"
R$ 345.000,Caraguatatuba,Balneário dos Golfinhos,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","67
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 67m²"
R$ 1.800.000,Caraguatatuba,Prainha,N/I,N/I,"3
              

                Quartos","1
              

                Banheiro","154
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 154m²"
R$ 349.000,Caraguatatuba,Loteamento Morada do Mar,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","80
              

                m²","--
                

                  Vaga","Casa com 2 Quartos à Venda, 80m²"
R$ 980.000,Caraguatatuba,Praia Das Palmeiras,N/I,N/I,"6
              

                Quartos","6
              

                Banheiros","274
              

                m²","5
                

                  Vagas","Casa com 6 Quartos à Venda, 274m²"
R$ 500.000,Caraguatatuba,Martim de Sa,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","90
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 90m²"
"R$ 580.000
                    



                  Condomínio:
                  
                      R$ 515",Caraguatatuba,Indaiá,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","67
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 67m²"
"R$ 400.000
                    



                  Condomínio:
                  
                      R$ 1.000",Caraguatatuba,Indaiá,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","56
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 56m²"
"R$ 1.500.000
                    



                  Condomínio:
                  
                      R$ 822",Caraguatatuba,Indaiá,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","170
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 170m²"
R$ 1.504.554,Caraguatatuba,Indaiá,Avenida Prefeito Geraldo Nogueira da Silva,N/I,"4
              

                Quartos","2
              

                Banheiros","169
              

                m²","3
                

                  Vagas","Apartamento com 4 Quartos à Venda, 169m²"
R$ 385.000,Caraguatatuba,Praia Das Palmeiras,Rua Alice Cortes Cintra,230,"2
              

                Quartos","1
              

                Banheiro","97
              

                m²","3
                

                  Vagas","Casa com 2 Quartos à Venda, 97m²"
R$ 345.000,Caraguatatuba,Balneário dos Golfinhos,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","67
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 67m²"
"R$ 360.000
                    



                  Condomínio:
                  
                      R$ 50",Caraguatatuba,Cidade Jardim,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","82
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 82m²"
R$ 7.659.190,Caraguatatuba,Praia Das Palmeiras,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","3481
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 3481m²"
"R$ 510.000
                    



                  Condomínio:
                  
                      R$ 400",Caraguatatuba,Pontal de Santa Marina,N/I,N/I,"2
              

                Quartos","3
              

                Banheiros","90
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 90m²"
R$ 1.290.000,Caraguatatuba,Massaguaçu,Avenida João Gonçalves Santana,1,"4
              

                Quartos","1
              

                Banheiro","292
              

                m²","2
                

                  Vagas","Apartamento com 4 Quartos à Venda, 292m²"
"R$ 530.000
                    



                  Condomínio:
                  
                      R$ 450",Caraguatatuba,Martim de Sa,Avenida Nilo Braga Garcez,2234,"2
              

                Quartos","2
              

                Banheiros","60
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 60m²"
R$ 550.000,Caraguatatuba,Massaguaçu,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","134
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 134m²"
R$ 1.300.000,Caraguatatuba,Martin de Sá,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","135
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 135m²"
R$ 470.000,Caraguatatuba,Jardim Brasil,Alameda Francisco de Assis Rosa Silva,111,"2
              

                Quartos","2
              

                Banheiros","75
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 75m²"
R$ 704.800,Caraguatatuba,Massaguaçu,N/I,N/I,"2
              

                Quartos","3
              

                Banheiros","70
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 70m²"
R$ 350.000,Caraguatatuba,Balneário dos Golfinhos,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","101
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 101m²"
R$ 597.000,Caraguatatuba,Aruan,Rua Duarte da Costa,N/I,"2
              

                Quartos","2
              

                Banheiros","66
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 66m²"
"R$ 510.000
                    



                  Condomínio:
                  
                      R$ 400",Caraguatatuba,Pontal de Santa Marina,Rua Antônio Carlos Quental Simas,N/I,"2
              

                Quartos","3
              

                Banheiros","90
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 90m²"
"R$ 420.000
                    



                  Condomínio:
                  
                      R$ 350",Caraguatatuba,Martim de Sa,Rua Luiz Lyria Martinez,500,"2
              

                Quartos","1
              

                Banheiro","66
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 66m²"
R$ 385.000,Caraguatatuba,Porto Novo,Avenida Cristóvão de Barros,1000,"2
              

                Quartos","1
              

                Banheiro","89
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 89m²"
R$ 1.150.000,Caraguatatuba,Parque Balneario Poiares,Avenida General Osório,N/I,"3
              

                Quartos","3
              

                Banheiros","127
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 127m²"
R$ 215.000,Caraguatatuba,Morro Do Algodao,Rua Pedrina Borges Arouca,234,"--
              

                Quarto","--
              

                Banheiro","0
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 0m²"
R$ 370.000,Caraguatatuba,Balneário dos Golfinhos,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","65
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 65m²"
R$ 695.000,Caraguatatuba,Massaguaçu,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","206
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 206m²"
R$ 850.000,Caraguatatuba,Jardim Aruã,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","117
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 117m²"
"R$ 1.170.000
                        
Preço abaixo do mercado





                  Condomínio:
                  
                      R$ 557",Caraguatatuba,Park Imperial,Rua dos Cambucis,N/I,"5
              

                Quartos","4
              

                Banheiros","350
              

                m²","4
                

                  Vagas","Casa de condomínio com 5 Quartos à Venda, 350m²"
"R$ 500.000
                    



                  Condomínio:
                  
                      R$ 885",Caraguatatuba,Prainha,Avenida Paulo Ferraz da Silva Porto,20,"2
              

                Quartos","2
              

                Banheiros","78
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 78m²"
"R$ 490.000
                        
Preço abaixo do mercado





                  Condomínio:
                  
                      R$ 500",Caraguatatuba,Cidade Jardim,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","84
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 84m²"
"R$ 2.200.000
                    



                  Condomínio:
                  
                      R$ 380",Caraguatatuba,Massaguaçu,Rua Peixe Espada,20,"4
              

                Quartos","5
              

                Banheiros","282
              

                m²","3
                

                  Vagas","Casa de condomínio com 4 Quartos à Venda, 282m²"
"R$ 6.900.000
                    



                  Condomínio:
                  
                      R$ 4.300",Caraguatatuba,Massaguaçu,Rua Peixe Espada,20,"4
              

                Quartos","5
              

                Banheiros","350
              

                m²","2
                

                  Vagas","Casa com 4 Quartos à Venda, 350m²"
R$ 250.000,Caraguatatuba,Massaguaçu,Rua Manaus,598,"--
              

                Quarto","--
              

                Banheiro","460
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 460m²"
"R$ 750.000
                    



                  Condomínio:
                  
                      R$ 10",Caraguatatuba,Praia Das Palmeiras,Rua São Jorge,N/I,"3
              

                Quartos","4
              

                Banheiros","150
              

                m²","5
                

                  Vagas","Casa com 3 Quartos à Venda, 150m²"
R$ 440.000,Caraguatatuba,Praia Das Palmeiras,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","60
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 60m²"
R$ 870.000,Caraguatatuba,Porto Novo,N/I,N/I,"3
              

                Quartos","4
              

                Banheiros","237
              

                m²","4
                

                  Vagas","Casa com 3 Quartos à Venda, 237m²"
"R$ 700.000
                    



                  Condomínio:
                  
                      R$ 750",Caraguatatuba,Martim de Sa,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","100
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 100m²"
R$ 450.000,Caraguatatuba,Capricórnio II,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","101
              

                m²","5
                

                  Vagas","Casa de condomínio com 2 Quartos à Venda, 101m²"
R$ 649.000,Caraguatatuba,Martim de Sa,Avenida Fioravante Paschoalim,595,"3
              

                Quartos","2
              

                Banheiros","112
              

                m²","5
                

                  Vagas","Casa com 3 Quartos à Venda, 112m²"
"R$ 270.000
                    



                  Condomínio:
                  
                      R$ 116",Caraguatatuba,Verde Mar,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","364
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 364m²"
"R$ 650.000
                        
Preço abaixo do mercado",Caraguatatuba,Pontal de Santa Marina,Rua Marli Dias Sampaio,N/I,"3
              

                Quartos","3
              

                Banheiros","160
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 160m²"
R$ 1.000.000,Caraguatatuba,Balneario Forest,Avenida Presidente Castelo Branco,775,"3
              

                Quartos","3
              

                Banheiros","135
              

                m²","2
                

                  Vagas","Cobertura com 3 Quartos à Venda, 135m²"
R$ 680.000,Caraguatatuba,Porto Novo,N/I,N/I,"6
              

                Quartos","8
              

                Banheiros","233
              

                m²","8
                

                  Vagas","Casa com 6 Quartos à Venda, 233m²"
"R$ 2.950.000
                    



                  Condomínio:
                  
                      R$ 1.400",Caraguatatuba,Centro,Rua Presidente Washington Luiz,44,"4
              

                Quartos","4
              

                Banheiros","200
              

                m²","3
                

                  Vagas","Apartamento com 4 Quartos à Venda, 200m²"
"R$ 1.100.000
                        
Preço abaixo do mercado",Caraguatatuba,Jardim California,N/I,N/I,"4
              

                Quartos","4
              

                Banheiros","330
              

                m²","4
                

                  Vagas","Casa com 4 Quartos à Venda, 330m²"
R$ 4.500.000,Caraguatatuba,Centro,Rua José Damazo dos Santos,N/I,"--
              

                Quarto","16
              

                Banheiros","966
              

                m²","4
                

                  Vagas","Prédio/Edificio inteiro    à Venda, 966m²"
R$ 830.000,Caraguatatuba,Jardim Britânia,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","165
              

                m²","5
                

                  Vagas","Casa com 3 Quartos à Venda, 165m²"
R$ 6.400.000,Caraguatatuba,Centro,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","11470
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 11470m²"
"R$ 580.000
                    



                  Condomínio:
                  
                      R$ 505",Caraguatatuba,Centro,Rua Engenheiro João Fonseca,530,"2
              

                Quartos","1
              

                Banheiro","74
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 74m²"
R$ 555.000,Caraguatatuba,Indaiá,Avenida Sergipe,468,"3
              

                Quartos","2
              

                Banheiros","123
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 123m²"
"R$ 674.000
                        
Preço abaixo do mercado",Caraguatatuba,Jardim Mariella,Rua Judith Guagliano Navarro,107,"2
              

                Quartos","3
              

                Banheiros","185
              

                m²","2
                

                  Vagas","Casa de condomínio com 2 Quartos à Venda, 185m²"
R$ 420.000,Caraguatatuba,Praia Das Palmeiras,Avenida Gaspar de Souza,4,"--
              

                Quarto","--
              

                Banheiro","500
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 500m²"
"R$ 1.090.000
                    



                  Condomínio:
                  
                      R$ 390",Caraguatatuba,Mar Verde II,Rua Xareu,535,"3
              

                Quartos","3
              

                Banheiros","135
              

                m²","2
                

                  Vagas","Casa de condomínio com 3 Quartos à Venda, 135m²"
R$ 330.000,Caraguatatuba,Massaguaçu,Rua Paraguai,26,"--
              

                Quarto","--
              

                Banheiro","405
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 405m²"
R$ 130.000,Caraguatatuba,Balneário dos Golfinhos,Avenida Pedro Reginaldo da Costa,N/I,"--
              

                Quarto","--
              

                Banheiro","340
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 340m²"
R$ 430.000,Caraguatatuba,Massaguaçu,Rua Francisco de Assis Rodrigues Alves,98,"2
              

                Quartos","3
              

                Banheiros","80
              

                m²","--
                

                  Vaga","Casa com 2 Quartos à Venda, 80m²"
"R$ 850.000
                    



                  Condomínio:
                  
                      R$ 880",Caraguatatuba,Massaguaçu,Rua Chile,204,"3
              

                Quartos","1
              

                Banheiro","105
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 105m²"
"R$ 700.000
                    



                  Condomínio:
                  
                      R$ 900",Caraguatatuba,Martim de Sa,Avenida Vítor Meirelles,99,"3
              

                Quartos","2
              

                Banheiros","102
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 102m²"
"R$ 290.000
                    



                  Condomínio:
                  
                      R$ 750",Caraguatatuba,Martim de Sa,Avenida Ipiranga,N/I,"1
              

                Quarto","1
              

                Banheiro","40
              

                m²","1
                

                  Vaga","Casa de condomínio com  Quarto à Venda, 40m²"
R$ 4.255.000,Caraguatatuba,Centro,N/I,N/I,"--
              

                Quarto","15
              

                Banheiros","967
              

                m²","4
                

                  Vagas","Sala/Conjunto    à Venda, 967m²"
"R$ 600.000
                    



                  Condomínio:
                  
                      R$ 100",Caraguatatuba,Jardim Nomar,Rua Benedito Marcos de Souza,20,"6
              

                Quartos","8
              

                Banheiros","233
              

                m²","8
                

                  Vagas","Casa com 6 Quartos à Venda, 233m²"
"R$ 420.000
                        
Preço abaixo do mercado





                  Condomínio:
                  
                      R$ 500",Caraguatatuba,Jardim Aruã,N/I,N/I,"2
              

                Quartos","3
              

                Banheiros","120
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 120m²"
R$ 5.000.000,Caraguatatuba,Pegorelli,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","32300
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 32300m²"
R$ 370.000,Caraguatatuba,GOLFINHO,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","67
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 67m²"
R$ 1.200.000,Caraguatatuba,Pontal de Santa Marina,N/I,N/I,"3
              

                Quartos","4
              

                Banheiros","420
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 420m²"
R$ 360.000,Caraguatatuba,Massaguaçu,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","10
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 10m²"
R$ 550.000,Caraguatatuba,Balneario Forest,N/I,N/I,"4
              

                Quartos","3
              

                Banheiros","152
              

                m²","2
                

                  Vagas","Casa com 4 Quartos à Venda, 152m²"
"R$ 720.000
                    



                  Condomínio:
                  
                      R$ 500",Caraguatatuba,Aruan,Avenida Prefeito Geraldo Nogueira da Silva,220,"2
              

                Quartos","2
              

                Banheiros","72
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 72m²"
"R$ 490.000
                        
Preço abaixo do mercado",Caraguatatuba,Balneario Recanto do Sol,Rua Oscar Augusto Guelli,11,"2
              

                Quartos","3
              

                Banheiros","136
              

                m²","4
                

                  Vagas","Casa com 2 Quartos à Venda, 136m²"
R$ 355.000,Caraguatatuba,Rio Do Ouro,Rua Benedito Miguel da Costa,111,"2
              

                Quartos","2
              

                Banheiros","85
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 85m²"
R$ 1.800.000,Caraguatatuba,Jardim Primavera,N/I,N/I,"3
              

                Quartos","1
              

                Banheiro","300
              

                m²","6
                

                  Vagas","Casa com 3 Quartos à Venda, 300m²"
R$ 900.000,Caraguatatuba,Massaguaçu,N/I,N/I,"6
              

                Quartos","4
              

                Banheiros","320
              

                m²","5
                

                  Vagas","Casa com 6 Quartos à Venda, 320m²"
R$ 700.000,Caraguatatuba,Indaiá,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","150
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 150m²"
"R$ 600.000
                    



                  Condomínio:
                  
                      R$ 250",Caraguatatuba,Verde Mar,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","157
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 157m²"
R$ 1.100.000,Caraguatatuba,Jardim California,N/I,N/I,"5
              

                Quartos","5
              

                Banheiros","200
              

                m²","3
                

                  Vagas","Casa com 5 Quartos à Venda, 200m²"
"R$ 430.000
                    



                  Condomínio:
                  
                      R$ 615",Caraguatatuba,Martim de Sa,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","60
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 60m²"
"R$ 1.400.000
                    



                  Condomínio:
                  
                      R$ 600",Caraguatatuba,Cidade Jardim,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","166
              

                m²","3
                

                  Vagas","Cobertura com 3 Quartos à Venda, 166m²"
"R$ 690.000
                    



                  Condomínio:
                  
                      R$ 497",Caraguatatuba,Indaiá,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","67
              

                m²","2
                

                  Vagas","Apartamento com 2 Quartos à Venda, 67m²"
R$ 480.000,Caraguatatuba,Pontal de Santa Marina,N/I,N/I,"2
              

                Quartos","3
              

                Banheiros","100
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 100m²"
"R$ 1.590.000
                    



                  Condomínio:
                  
                      R$ 1.758",Caraguatatuba,Jardim Primavera,N/I,N/I,"4
              

                Quartos","3
              

                Banheiros","208
              

                m²","3
                

                  Vagas","Cobertura com 4 Quartos à Venda, 208m²"
R$ 1.900.000,Caraguatatuba,Capricórnio II,N/I,N/I,"4
              

                Quartos","4
              

                Banheiros","308
              

                m²","3
                

                  Vagas","Casa com 4 Quartos à Venda, 308m²"
R$ 1.060.000,Caraguatatuba,Massaguaçu,N/I,N/I,"4
              

                Quartos","5
              

                Banheiros","416
              

                m²","--
                

                  Vaga","Prédio/Edificio inteiro com 4 Quartos à Venda, 416m²"
R$ 800.000,Caraguatatuba,Massaguaçu,N/I,N/I,"3
              

                Quartos","4
              

                Banheiros","181
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 181m²"
R$ 2.400.000,Caraguatatuba,Sumaré,N/I,N/I,"3
              

                Quartos","1
              

                Banheiro","500
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 500m²"
R$ 640.000,Caraguatatuba,Jardim Aruã,N/I,N/I,"4
              

                Quartos","3
              

                Banheiros","183
              

                m²","1
                

                  Vaga","Casa de condomínio com 4 Quartos à Venda, 183m²"
"R$ 1.100.000
                    



                  Condomínio:
                  
                      R$ 900",Caraguatatuba,Indaiá,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","127
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 127m²"
R$ 750.000,Caraguatatuba,Jardim do Sol,Rua Quatorze,500,"2
              

                Quartos","2
              

                Banheiros","65
              

                m²","3
                

                  Vagas","Apartamento com 2 Quartos à Venda, 65m²"
R$ 3.390.000,Caraguatatuba,Costa Nova,Rua Onze,100,"4
              

                Quartos","5
              

                Banheiros","357
              

                m²","4
                

                  Vagas","Casa de condomínio com 4 Quartos à Venda, 357m²"
R$ 1.582.917,Caraguatatuba,Indaiá,Avenida Prefeito Geraldo Nogueira da Silva,N/I,"3
              

                Quartos","3
              

                Banheiros","144
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 144m²"
R$ 330.000,Caraguatatuba,Balneário dos Golfinhos,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","10
              

                m²","--
                

                  Vaga","Casa com 2 Quartos à Venda, 10m²"
R$ 1.100.000,Caraguatatuba,Indaiá,Avenida Vereador Aristides Anizio dos Santos,30,"3
              

                Quartos","2
              

                Banheiros","143
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 143m²"
R$ 520.000,Caraguatatuba,Indaiá,Avenida Vereador Aristides Anizio dos Santos,30,"2
              

                Quartos","2
              

                Banheiros","75
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 75m²"
R$ 420.000,Caraguatatuba,Indaiá,Avenida Mato Grosso,53,"2
              

                Quartos","1
              

                Banheiro","99
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 99m²"
R$ 800.000,Caraguatatuba,Pontal de Santa Marina,Rua Pastor Regivaldo Francisco Paulino,999,"3
              

                Quartos","2
              

                Banheiros","150
              

                m²","4
                

                  Vagas","Casa com 3 Quartos à Venda, 150m²"
R$ 345.000,Caraguatatuba,Balneário dos Golfinhos,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","67
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 67m²"
R$ 350.000,Caraguatatuba,Massaguaçu,Avenida Massaguaçu,3,"2
              

                Quartos","1
              

                Banheiro","70
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 70m²"
R$ 360.000,Caraguatatuba,Massaguaçu,Rua Fortaleza,N/I,"--
              

                Quarto","--
              

                Banheiro","253
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 253m²"
R$ 430.000,Caraguatatuba,Massaguaçu,Rua Tetsuo Watanabe,240,"2
              

                Quartos","2
              

                Banheiros","68
              

                m²","3
                

                  Vagas","Casa com 2 Quartos à Venda, 68m²"
R$ 399.000,Caraguatatuba,Recando Som do Mar,Avenida Fênix,N/I,"2
              

                Quartos","1
              

                Banheiro","180
              

                m²","--
                

                  Vaga","Casa com 2 Quartos à Venda, 180m²"
R$ 1.500.000,Caraguatatuba,Jardim Porto Novo,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","1165
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 1165m²"
"R$ 636.000
                    



                  Condomínio:
                  
                      R$ 590",Caraguatatuba,Cidade Jardim,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","83
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 83m²"
"R$ 700.000
                    



                  Condomínio:
                  
                      R$ 400",Caraguatatuba,Park Imperial,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","403
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 403m²"
"R$ 550.000
                    



                  Condomínio:
                  
                      R$ 300",Caraguatatuba,Cidade Jardim,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","83
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 83m²"
R$ 400.000,Caraguatatuba,Massaguaçu,Rua Irineu de Mello Neto,935,"2
              

                Quartos","1
              

                Banheiro","80
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 80m²"
R$ 850.000,Caraguatatuba,Martim de Sa,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","120
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 120m²"
"R$ 1.280.000
                    



                  Condomínio:
                  
                      R$ 220",Caraguatatuba,Portal do Patrimonium,Rua Sidnei de Oliveira Andrade,123,"3
              

                Quartos","3
              

                Banheiros","153
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 153m²"
R$ 781.000,Caraguatatuba,Jardim do Sol,Rua Cezar Corrêa Amarantes,403,"3
              

                Quartos","3
              

                Banheiros","132
              

                m²","4
                

                  Vagas","Casa com 3 Quartos à Venda, 132m²"
"R$ 800.000
                    



                  Condomínio:
                  
                      R$ 920",Caraguatatuba,Costa Nova,Rua Marginal Quatro,1000,"--
              

                Quarto","--
              

                Banheiro","360
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 360m²"
"R$ 3.800.000
                    



                  Condomínio:
                  
                      R$ 950",Caraguatatuba,Park Imperial,Rua das Guabirobas,50,"5
              

                Quartos","7
              

                Banheiros","400
              

                m²","3
                

                  Vagas","Casa de condomínio com 5 Quartos à Venda, 400m²"
